ID	temps	pos	U	temp.	couple
Intensite	0.11
33	6.54	16.84	11.6	32.0	-0.8
34	6.54	-1.01	11.7	33.0	-0.0
35	6.54	1.45	11.7	33.0	-0.0
36	6.54	0.73	11.7	36.0	0.0
37	6.54	-22.2	12.0	37.0	-0.0
41	6.54	-0.46	11.5	32.0	-0.8
42	6.54	1.78	11.5	32.0	-0.8
43	6.54	-20.7	11.4	32.0	0.8
44	6.54	90.13	11.5	32.0	0.8
51	6.54	-1.87	11.7	32.0	-2.3
52	6.54	-3.01	11.4	32.0	3.9
53	6.54	-9.8	11.1	32.0	-0.0
54	6.54	89.96	11.2	32.0	-0.0
Intensite	-0.48
33	10.95	-4.53	11.6	29.0	0.0
34	10.95	2.07	11.7	31.0	-0.0
35	10.95	0.57	11.7	30.0	-0.0
36	10.95	10.41	11.8	32.0	0.0
37	10.95	-21.91	12.1	33.0	-0.0
41	10.95	-0.29	11.6	29.0	0.0
42	10.95	-1.03	11.7	29.0	-0.0
43	10.95	8.57	11.5	29.0	-0.0
44	10.95	86.44	11.7	29.0	0.0
51	10.95	0.15	11.8	29.0	-0.0
52	10.95	-2.48	11.4	29.0	-0.0
53	10.95	0.31	11.3	29.0	-0.0
54	10.95	83.1	11.4	29.0	-0.0
Intensite	rate
33	23.79	-4.53	11.6	29.0	-0.8
34	23.79	1.98	11.7	31.0	-1.6
35	23.79	0.57	11.7	30.0	-0.0
36	23.79	10.41	11.8	32.0	0.0
37	23.79	-22.2	12.1	34.0	-0.0
41	23.79	-0.29	11.6	30.0	0.0
42	23.79	-1.03	11.7	29.0	-0.0
43	23.79	8.57	11.5	29.0	-0.0
44	23.79	86.44	11.7	29.0	0.0
51	23.79	0.07	11.8	29.0	-0.8
52	23.79	-2.48	11.4	29.0	-0.0
53	23.79	0.4	11.3	30.0	-0.0
54	23.79	83.1	11.4	29.0	-0.8
Intensite	-0.48
33	28.02	-4.53	11.6	29.0	-0.8
34	28.02	2.07	11.7	31.0	-0.8
35	28.02	0.57	11.7	31.0	-0.0
36	28.02	10.41	11.8	32.0	0.0
37	28.02	-21.91	12.0	34.0	-0.0
41	28.02	-0.29	11.6	30.0	0.0
42	28.02	-1.03	11.7	29.0	-0.0
43	28.02	8.66	11.5	29.0	0.8
44	28.02	86.44	11.7	29.0	0.0
51	28.02	0.15	11.8	29.0	-0.0
52	28.02	-2.48	11.4	29.0	-0.0
53	28.02	0.4	11.3	30.0	-0.0
54	28.02	83.1	11.4	29.0	-0.8
Intensite	-0.64
33	36.47	-4.26	11.6	30.0	1.6
34	36.47	1.89	11.7	31.0	-2.3
35	36.47	0.84	11.7	31.0	2.3
36	36.47	9.82	11.8	33.0	0.0
37	36.47	-21.91	12.0	35.0	-0.0
41	36.47	-1.6	11.5	30.0	-11.7
42	36.47	1.25	11.5	29.0	20.3
43	36.47	8.31	11.4	30.0	-2.3
44	36.47	86.09	11.6	29.0	-3.1
51	36.47	0.15	11.7	30.0	-0.0
52	36.47	-2.57	11.4	29.0	-0.8
53	36.47	0.4	11.2	30.0	-0.0
54	36.47	83.1	11.4	30.0	-0.8
Intensite	rate
33	43.59	-4.62	11.5	30.0	-1.6
34	43.59	1.63	11.6	32.0	-4.7
35	43.59	0.92	11.7	32.0	3.1
36	43.59	10.41	11.7	33.0	0.0
37	43.59	-21.91	12.0	35.0	-0.0
41	43.59	-3.98	11.4	30.0	-32.8
42	43.59	2.04	11.4	30.0	27.4
43	43.59	9.01	11.2	30.0	3.9
44	43.59	84.15	11.3	30.0	-20.3
51	43.59	0.24	11.6	30.0	0.8
52	43.59	-2.66	11.3	30.0	-1.6
53	43.59	0.31	11.2	30.0	-0.8
54	43.59	83.1	11.3	30.0	-0.8
Intensite	-0.79
33	49.29	-4.7	11.6	30.0	-2.3
34	49.29	1.71	11.6	32.0	-3.9
35	49.29	0.92	11.7	31.0	3.1
36	49.29	9.82	11.8	34.0	0.0
37	49.29	-21.91	12.0	35.0	-0.0
41	49.29	-3.89	11.4	31.0	-32.1
42	49.29	0.99	11.5	30.0	18.0
43	49.29	9.01	11.4	30.0	3.9
44	49.29	85.12	11.4	30.0	-11.7
51	49.29	0.24	11.7	30.0	0.8
52	49.29	-2.57	11.4	30.0	-0.8
53	49.29	0.4	11.2	30.0	-0.0
54	49.29	83.1	11.3	30.0	-0.8
Intensite	-0.41
33	85.83	-4.53	11.6	31.0	-0.8
34	85.83	1.71	11.7	33.0	-3.9
35	85.83	0.92	11.7	32.0	3.1
36	85.83	9.82	11.8	35.0	0.0
37	85.83	-21.91	12.1	36.0	-0.0
41	85.83	-0.37	11.6	32.0	-0.8
42	85.83	-1.21	11.6	31.0	-1.6
43	85.83	8.57	11.5	31.0	-0.0
44	85.83	86.53	11.6	31.0	0.8
51	85.83	0.07	11.7	31.0	-0.8
52	85.83	-2.48	11.4	31.0	-0.0
53	85.83	0.22	11.2	31.0	-1.6
54	85.83	83.19	11.3	31.0	-0.0
Intensite	-0.48
33	86.53	-4.53	11.6	31.0	-0.8
34	86.53	1.71	11.7	33.0	-3.9
35	86.53	0.92	11.7	33.0	3.1
36	86.53	9.82	11.8	35.0	0.0
37	86.53	-21.91	12.1	36.0	-0.0
41	86.53	-0.37	11.5	32.0	-0.8
42	86.53	-1.21	11.7	31.0	-0.8
43	86.53	8.57	11.5	31.0	-0.0
44	86.53	86.53	11.6	31.0	0.8
51	86.53	0.07	11.7	31.0	-0.8
52	86.53	-2.48	11.4	31.0	-0.0
53	86.53	0.22	11.2	31.0	-1.6
54	86.53	83.19	11.3	31.0	-0.0
Intensite	-0.79
33	87.23	-4.53	11.6	31.0	-0.8
34	87.23	1.71	11.7	33.0	-3.9
35	87.23	0.92	11.7	32.0	3.1
36	87.23	9.53	11.8	35.0	-0.8
37	87.23	-21.91	12.0	36.0	-0.0
41	87.23	-20.51	11.5	32.0	9.3
42	87.23	2.48	11.6	31.0	-2.8
43	87.23	5.41	11.4	31.0	1.3
44	87.23	75.71	11.6	31.0	6.5
51	87.23	-19.19	11.7	31.0	9.2
52	87.23	-3.63	11.4	31.0	1.8
53	87.23	2.15	11.1	31.0	-2.5
54	87.23	72.99	11.2	31.0	5.1
Intensite	-0.56
33	12.01	-4.26	11.6	32.0	1.6
34	12.01	1.71	11.7	34.0	-3.9
35	12.01	0.92	11.7	34.0	3.1
36	12.01	4.55	11.8	36.0	0.0
37	12.01	-21.91	12.1	37.0	-0.0
41	12.01	-127.32	11.5	33.0	4.7
42	12.01	22.79	11.7	33.0	2.3
43	12.01	-11.12	11.5	32.0	1.6
44	12.01	17.6	11.6	32.0	-1.6
51	12.01	-121.25	11.7	33.0	10.9
52	12.01	-11.36	11.4	32.0	-0.8
53	12.01	12.7	11.1	32.0	-1.6
54	12.01	19.45	11.3	32.0	-0.0
Intensite	rate
33	12.71	-4.26	11.6	32.0	1.6
34	12.71	1.71	11.7	34.0	-3.9
35	12.71	0.84	11.7	34.0	2.3
36	12.71	4.55	11.8	36.0	0.0
37	12.71	-21.91	12.1	37.0	-0.0
41	12.71	-121.08	11.5	33.0	3.2
42	12.71	34.66	11.7	33.0	1.0
43	12.71	-10.33	11.5	32.0	-3.1
44	12.71	30.35	11.6	32.0	-3.6
51	12.71	-115.36	11.7	33.0	7.1
52	12.71	-24.99	11.4	32.0	2.2
53	12.71	10.42	11.1	32.0	1.1
54	12.71	31.58	11.2	32.0	-3.6
Intensite	rate
33	13.41	-4.35	11.6	32.0	0.8
34	13.41	1.8	11.7	34.0	-3.1
35	13.41	0.92	11.7	34.0	3.1
36	13.41	4.55	11.8	36.0	0.0
37	13.41	-21.91	12.1	37.0	-0.0
41	13.41	-108.07	11.5	33.0	2.4
42	13.41	59.1	11.6	32.0	0.3
43	13.41	-7.96	11.5	32.0	-3.1
44	13.41	56.64	11.6	32.0	-2.1
51	13.41	-102.97	11.7	33.0	4.1
52	13.41	-52.95	11.4	32.0	3.7
53	13.41	5.14	11.0	32.0	1.9
54	13.41	56.9	11.1	32.0	-2.1
Intensite	-0.48
33	35.27	-4.35	11.6	33.0	0.8
34	35.27	1.8	11.7	35.0	-3.1
35	35.27	0.92	11.7	34.0	3.1
36	35.27	4.55	11.8	37.0	0.0
37	35.27	-21.91	12.1	37.0	-0.0
41	35.27	-90.13	11.5	34.0	-3.1
42	35.27	92.42	11.7	32.0	1.6
43	35.27	-4.35	11.5	33.0	-2.3
44	35.27	90.31	11.6	32.0	2.3
51	35.27	-85.56	11.7	33.0	1.6
52	35.27	-90.4	11.4	33.0	2.3
53	35.27	-2.42	11.1	33.0	1.6
54	35.27	90.22	11.2	33.0	2.3
Intensite	-0.71
33	35.97	-4.35	11.6	33.0	0.8
34	35.97	1.8	11.7	35.0	-3.1
35	35.97	0.92	11.7	34.0	3.1
36	35.97	4.55	11.8	37.0	0.0
37	35.97	-21.91	12.1	37.0	-0.0
41	35.97	-95.85	11.5	34.0	6.1
42	35.97	80.81	11.7	32.0	6.6
43	35.97	-4.88	11.5	33.0	4.7
44	35.97	78.0	11.6	32.0	6.0
51	35.97	-91.54	11.7	33.0	6.2
52	35.97	-77.21	11.4	33.0	-4.5
53	35.97	-0.31	11.1	33.0	-2.6
54	35.97	78.35	11.2	33.0	7.5
Intensite	-0.79
33	36.67	-4.35	11.6	33.0	0.8
34	36.67	1.8	11.7	35.0	-3.1
35	36.67	0.92	11.7	33.0	3.1
36	36.67	4.55	11.8	37.0	0.0
37	36.67	-21.91	12.0	37.0	-0.0
41	36.67	-108.24	11.5	36.0	12.3
42	36.67	57.16	11.5	32.0	8.3
43	36.67	-7.25	11.4	32.0	2.5
44	36.67	53.03	11.6	32.0	5.2
51	36.67	-103.41	11.7	33.0	13.2
52	36.67	-50.4	11.4	33.0	-7.7
53	36.67	4.79	10.9	33.0	-4.1
54	36.67	53.82	11.0	33.0	6.0
Intensite	-0.64
33	48.08	-4.26	11.6	33.0	1.6
34	48.08	1.8	11.7	35.0	-3.1
35	48.08	0.92	11.7	35.0	3.1
36	48.08	4.55	11.8	37.0	0.0
37	48.08	-21.91	12.1	37.0	-0.0
41	48.08	-126.53	11.5	34.0	11.7
42	48.08	22.97	11.6	32.0	3.9
43	48.08	-11.03	11.5	33.0	2.3
44	48.08	17.87	11.6	32.0	0.8
51	48.08	-120.99	11.7	33.0	13.3
52	48.08	-11.63	11.4	33.0	-3.1
53	48.08	12.7	11.1	33.0	-1.6
54	48.08	19.54	11.2	33.0	0.8
Intensite	-0.56
33	48.78	-4.35	11.6	33.0	0.8
34	48.78	1.8	11.7	35.0	-3.1
35	48.78	0.92	11.7	35.0	3.1
36	48.78	4.55	11.8	37.0	0.0
37	48.78	-21.91	12.1	37.0	-0.0
41	48.78	-121.08	11.5	34.0	2.5
42	48.78	34.66	11.6	32.0	1.0
43	48.78	-10.33	11.5	33.0	-3.1
44	48.78	30.35	11.6	32.0	-3.6
51	48.78	-115.63	11.7	33.0	4.1
52	48.78	-25.08	11.4	33.0	-0.0
53	48.78	10.42	11.1	33.0	1.1
54	48.78	31.58	11.2	33.0	-2.9
Intensite	rate
33	49.48	-4.35	11.6	33.0	0.8
34	49.48	1.8	11.7	35.0	-3.1
35	49.48	0.92	11.7	35.0	3.1
36	49.48	3.96	11.8	37.0	0.0
37	49.48	-21.91	12.0	37.0	-0.0
41	49.48	-108.51	11.5	34.0	1.0
42	49.48	58.4	11.6	34.0	0.3
43	49.48	-7.96	11.5	33.0	-2.3
44	49.48	55.93	11.6	32.0	-1.4
51	49.48	-103.49	11.7	33.0	2.5
52	49.48	-52.33	11.4	33.0	1.4
53	49.48	5.32	11.0	32.0	2.5
54	49.48	56.11	11.2	33.0	-2.8
Intensite	-0.56
33	67.6	-4.35	11.6	33.0	0.8
34	67.6	1.8	11.7	35.0	-3.1
35	67.6	0.92	11.7	35.0	3.1
36	67.6	4.55	11.8	37.0	0.0
37	67.6	-21.03	12.1	37.0	-0.0
41	67.6	-90.13	11.5	34.0	-3.1
42	67.6	92.33	11.6	33.0	0.8
43	67.6	-4.35	11.5	33.0	-2.3
44	67.6	90.31	11.6	32.0	2.3
51	67.6	-85.65	11.7	34.0	0.8
52	67.6	-90.4	11.4	33.0	2.3
53	67.6	-2.42	11.1	33.0	1.6
54	67.6	90.22	11.2	33.0	2.3
Intensite	-0.71
33	68.3	-4.26	11.6	33.0	1.6
34	68.3	1.8	11.7	35.0	-3.1
35	68.3	0.92	11.7	35.0	3.1
36	68.3	4.55	11.8	37.0	0.0
37	68.3	-21.32	12.0	37.0	-0.0
41	68.3	-95.49	11.5	34.0	6.1
42	68.3	81.43	11.6	33.0	5.2
43	68.3	-4.88	11.4	33.0	2.5
44	68.3	78.79	11.6	33.0	6.0
51	68.3	-91.19	11.7	34.0	6.8
52	68.3	-77.91	11.4	33.0	-3.8
53	68.3	-0.48	11.0	33.0	-3.4
54	68.3	78.97	11.1	33.0	6.7
Intensite	-0.79
33	69.0	-4.35	11.6	33.0	0.8
34	69.0	1.71	11.7	35.0	-3.9
35	69.0	0.92	11.7	35.0	3.1
36	69.0	4.55	11.8	37.0	0.0
37	69.0	-21.32	12.0	37.0	-0.0
41	69.0	-108.24	11.5	34.0	12.3
42	69.0	57.16	11.6	33.0	7.5
43	69.0	-7.25	11.4	33.0	4.7
44	69.0	53.03	11.6	33.0	5.2
51	69.0	-103.41	11.7	34.0	13.2
52	69.0	-50.31	11.4	33.0	-6.9
53	69.0	4.79	11.0	33.0	-4.1
54	69.0	53.82	11.1	33.0	6.7
Intensite	-0.56
