06/03/2017 10:07:02	
ID	posit.	U	temp.	couple
11	0.57	11.6	32.0	0.0
12	-14.2	11.8	31.0	-0.0
13	17.56	11.6	29.0	0.0
14	11.3	11.7	30.0	0.0
15	4.88	11.8	33.0	0.0
21	2.24	11.7	34.0	0.0
22	-2.77	11.8	39.0	-0.0
23	27.3	11.7	30.0	-0.0
24	-1.19	11.6	30.0	-0.0
25	14.81	11.3	32.0	-0.0
31	19.82	11.2	32.0	-0.0
32	-1.71	11.3	32.0	-0.0
33	-8.04	11.4	32.0	0.0
34	4.62	11.5	33.0	-0.0
35	5.67	11.5	33.0	-0.0
36	4.84	11.7	35.0	0.0
37	-19.56	12.0	39.0	-0.0
41	0.77	11.5	33.0	0.0
42	-0.15	11.5	32.0	-0.0
43	-1.01	11.3	32.0	-0.0
44	1.27	11.4	33.0	0.0
51	-2.48	11.6	32.0	-0.0
52	-5.21	11.3	32.0	-0.0
53	-0.13	11.4	32.0	-0.0
54	2.77	11.5	33.0	-0.0
45	7.77	7.4	26.0	-0.0
46	4.25	7.4	26.0	0.0
55	-9.24	7.4	25.0	0.0
56	13.64	7.5	26.0	0.0
06/03/2017 10:08:02	
ID	posit.	U	temp.	couple
11	0.57	11.6	32.0	0.0
12	-14.2	11.8	32.0	-0.0
13	17.56	11.5	30.0	0.0
14	11.3	11.7	30.0	0.0
15	4.88	11.8	34.0	0.0
21	2.33	11.7	34.0	0.0
22	-2.77	11.7	39.0	-0.0
23	27.3	11.7	31.0	-0.0
24	-1.19	11.6	31.0	-0.0
25	14.81	11.3	32.0	-0.0
31	19.82	11.2	32.0	-0.0
32	-1.71	11.3	32.0	-0.0
33	-8.04	11.3	32.0	0.0
34	4.62	11.5	33.0	-0.0
35	5.67	11.5	33.0	-0.0
36	4.84	11.7	35.0	0.0
37	-19.56	11.8	39.0	-0.0
41	0.68	11.4	33.0	0.0
42	-0.15	11.5	32.0	-0.0
43	-0.92	11.3	32.0	-0.0
44	1.19	11.4	32.0	0.0
51	-2.48	11.6	32.0	-0.0
52	-5.3	11.3	32.0	-0.0
53	-0.13	11.4	33.0	-0.0
54	2.77	11.5	33.0	-0.0
45	7.77	7.4	26.0	-0.0
46	4.25	7.4	26.0	0.0
55	-9.24	7.4	25.0	0.0
56	13.93	7.5	26.0	-0.8
06/03/2017 10:09:03	
ID	posit.	U	temp.	couple
11	0.57	11.6	32.0	0.0
12	-14.2	11.8	32.0	-0.0
13	17.56	11.5	30.0	0.0
14	11.3	11.7	31.0	0.0
15	4.88	11.8	34.0	0.0
21	2.33	11.7	35.0	0.0
22	-2.77	11.8	40.0	-0.0
23	27.3	11.7	31.0	-0.0
24	-1.19	11.6	31.0	-0.0
25	14.81	11.3	32.0	-0.0
31	19.82	11.2	33.0	-0.0
32	-1.71	11.3	32.0	-0.0
33	-8.04	11.3	33.0	0.0
34	4.62	11.5	33.0	-0.0
35	5.76	11.5	34.0	-0.0
36	4.84	11.7	36.0	0.0
37	-19.56	12.0	39.0	-0.0
41	0.68	11.4	33.0	0.0
42	-0.15	11.5	32.0	-0.0
43	-0.92	11.3	33.0	-0.0
44	1.19	11.4	32.0	0.0
51	-2.48	11.6	32.0	-0.0
52	-5.21	11.3	32.0	-0.0
53	-0.13	11.4	33.0	-0.0
54	2.77	11.5	34.0	-0.0
45	7.77	7.4	26.0	-0.0
46	3.96	7.4	26.0	-0.8
55	-9.24	7.4	25.0	0.0
56	13.64	7.4	26.0	0.8
06/03/2017 10:10:03	
ID	posit.	U	temp.	couple
11	0.57	11.6	33.0	0.0
12	-14.29	11.8	32.0	-0.0
13	17.56	11.5	30.0	0.0
14	11.3	11.7	31.0	0.0
15	4.88	11.8	34.0	0.0
21	2.24	11.7	35.0	0.0
22	-2.86	11.7	40.0	-0.0
23	27.3	11.7	31.0	-0.0
24	-1.19	11.6	31.0	-0.0
25	14.81	11.3	33.0	-0.0
31	19.82	11.2	33.0	-0.0
32	-1.71	11.3	33.0	-0.0
33	-8.04	11.3	33.0	0.0
34	4.62	11.5	34.0	-0.0
35	5.67	11.5	34.0	-0.0
36	4.84	11.7	36.0	0.0
37	-19.56	12.0	39.0	-0.0
41	0.68	11.4	33.0	0.0
42	-0.15	11.5	33.0	-0.0
43	-0.92	11.3	33.0	-0.0
44	1.19	11.4	33.0	0.0
51	-2.48	11.6	33.0	-0.0
52	-5.21	11.3	32.0	-0.0
53	-0.13	11.4	33.0	-0.0
54	2.77	11.5	34.0	-0.0
45	7.77	7.4	26.0	-0.0
46	4.25	7.4	26.0	0.0
55	-9.24	7.4	26.0	0.0
56	13.64	7.5	26.0	0.8
06/03/2017 10:11:03	
ID	posit.	U	temp.	couple
11	0.57	11.6	33.0	0.0
12	-14.2	11.8	32.0	-0.0
13	17.56	11.5	30.0	0.0
14	11.3	11.7	31.0	0.0
15	4.88	11.8	35.0	0.0
21	2.24	11.7	35.0	0.0
22	-2.77	11.7	40.0	-0.0
23	27.21	11.7	31.0	-0.0
24	-1.19	11.6	32.0	-0.0
25	14.81	11.3	33.0	-0.0
31	19.82	11.2	33.0	-0.0
32	-1.71	11.3	33.0	-0.0
33	-8.04	11.3	33.0	0.0
34	4.62	11.5	34.0	-0.0
35	5.67	11.5	34.0	-0.0
36	4.84	11.7	36.0	0.0
37	-19.56	11.8	39.0	-0.0
41	0.77	11.4	34.0	0.0
42	-0.15	11.5	33.0	-0.0
43	-0.92	11.3	33.0	-0.0
44	1.19	11.4	33.0	0.0
51	-2.48	11.6	33.0	-0.0
52	-5.21	11.3	32.0	-0.0
53	-0.22	11.4	34.0	-0.0
54	2.77	11.5	34.0	-0.0
45	7.77	7.4	26.0	-0.0
46	4.25	7.4	26.0	0.0
55	-9.24	7.4	26.0	0.0
